Building matrices with L=20
3
5 1    8 1
8 0    11 0
8 1    11 1
8 2    11 2
9 0    12 0
9 1    12 1
9 2    12 2
10 0    13 0
10 1    13 1
10 2    13 2
0 2    3 2
8 0    11 0
8 1    11 1
8 2    11 2
9 0    12 0
9 1    12 1
9 2    12 2
10 0    13 0
10 1    13 1
10 2    13 2
7 2    10 2
8 0    11 0
8 1    11 1
8 2    11 2
9 0    12 0
9 1    12 1
9 2    12 2
10 0    13 0
10 1    13 1
10 2    13 2
6 0    9 0
8 0    11 0
8 1    11 1
8 2    11 2
9 0    12 0
9 1    12 1
9 2    12 2
10 0    13 0
10 1    13 1
10 2    13 2
0 0    3 0
8 0    11 0
8 1    11 1
8 2    11 2
9 0    12 0
9 1    12 1
9 2    12 2
10 0    13 0
10 1    13 1
10 2    13 2
